kegg_drug,pubchem_sid,pubchem_cid
D02328,7849387,1613
D02333,7849392,54675768
D02335,7849394,4055
D02338,7849397,1978
D02340,7849399,3964
D02341,7849400,4037
D02342,7849401,2405
D02347,7849406,6914273
D02349,7849408,3105
D02350,7849409,3342
D02354,7849413,5440
D02355,7849414,5509
D02356,7849415,2520
D02357,7849416,9681
D02358,7849417,4171
D02359,7849418,33572
D02360,7849419,68617
D02361,7849420,4940
D02362,7849421,43815
D02367,7849426,40973
D02368,7849427,60750
D02374,7849433,31477
D02375,7849434,1549008
D02409,7849467,23669229
D02418,7849476,657348
D02441,7849499,3295
D02451,7849508,59694
D02461,7849517,22502
D02485,17396664,37392
D02487,17396666,9570076
D02546,17396717,11954253
D02556,17396727,467825
D02558,17396729,6918078
D02559,17396730,34521
D02560,17396731,44571
D02561,17396732,4235
D02562,17396733,3052775
D02563,17396734,60824
D02564,17396735,9373
D02566,17396737,4011
D02578,17396749,82148
D02579,17396750,3748
D02580,17396751,3759
D02581,17396752,52542
D02588,17396759,6917793
D02614,17396784,5311064
D02630,17396800,33630
D02655,17396825,37274
D02671,17396840,4078
D02698,17396865,23724511
D02709,17396876,119607
D02721,17396888,5311181
D02725,17396892,5312153
D02729,17396896,129791
D02731,17396898,135414253
D02756,17396914,451415
D02769,17396927,6083
D02826,17396983,9907628
D02835,17396992,23683779
D02880,17397037,9910986
D02884,17397041,21850
D02910,17397067,2157
D02914,17397071,6435922
D03012,17397168,166558
D03034,17397189,2266
D03037,17397192,9571003
D03077,17397232,5463984
D03115,17397270,23724856
D03165,17397319,31101
D03180,17397334,2479
D03187,17397341,5311035
D03208,17397362,5493444
D03210,17397364,9869929
D03217,17397370,6450551
D03218,17397371,5328940
D03252,17397405,135413545
D03260,17397413,6431825
D03274,17397426,156413
D03350,17397500,89594
D03365,17397514,11954344
D03415,17397555,3033824
D03433,17397573,189729
D03440,17397580,16129675
D03442,17397582,66383
D03450,17397590,167446
D03490,17397626,50963
D03503,17397637,21155870
D03580,47205864,9859832
D03601,17397711,6726
D03621,17397725,54343
D03642,47205878,6436002
D03643,17397743,444031
D03654,17397751,2973
D03670,17397766,3058754
D03689,17397783,123619
D03710,17397801,208910
D03712,17397803,151166
D03714,17397805,119828
D03716,17397807,15895902
D03717,17397808,159324
D03720,17397811,60781
D03722,17397813,11954363
D03728,17397817,26757
D03731,17397820,6446650
D03733,17397822,170321
D03734,17397823,71355
D03735,17397824,156422
D03738,17397827,60594
D03741,17397830,5464201
D03742,17397831,5360696
D03743,17397832,64922
D03745,17397834,3086651
D03751,17397840,135462830
D03752,17397841,54892
D03753,17397842,107807
D03756,17397845,10457278
D03758,17397847,71320
D03760,17397849,6917815
D03763,17397852,6917956
D03765,17397854,6850814
D03767,17397856,3033690
D03769,17397858,6917719
D03772,17397861,62956
D03773,17397862,107994
D03775,17397864,3033702
D03776,17397865,11954366
D03778,17397867,11954367
D03781,17397870,11983193
D03784,17397872,71454
D03787,17397875,11954368
D03788,17397876,107706
D03798,17397886,54676038
D03803,17397891,157838
D03805,17397893,190816
D03806,17397894,5278
D03807,17397895,5724
D03816,17397903,11954370
D03822,17397908,77991
D03823,17397909,132228
D03826,17397912,6419928
D03828,17397914,135413520
D03829,17397915,11954371
D03830,17397916,3037122
D03845,17397931,60692
D03858,17397943,3055
D03878,17397962,6420042
D03879,17397963,36811
D03880,17397964,3038222
D03881,17397965,208850
D03882,17397966,1967
D03899,17397983,31703
D03966,47205952,156665
D03991,17397996,48040
D04006,17398000,1676
D04023,17398007,176871
D04024,17398008,11557040
D04025,17398009,6444692
D04028,17398010,3034010
D04029,17398011,204101
D04031,17398012,472335
D04034,47205999,23724898
D04040,17398013,5281037
D04048,47206010,6918111
D04066,47206023,259331
D04092,17398024,8366
D04197,47206143,5790
D04292,47206224,9651
D04370,47206270,5284566
D04375,47206274,5702063
D04625,47206468,3762
D04716,47206541,15130
D04790,47206600,157920
D04966,47206702,4091
D04979,47206710,14677
D04983,47206713,876
D04985,47206715,9034
D04999,47206727,4158
D05024,47206751,60662
D05077,47206804,34633
D05113,47206838,5360515
D05129,47206854,50294
D05156,47206880,2735102
D05246,47206963,158781
D05312,47207011,5284603
D05341,47207027,985
D05353,17398288,4679
