CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
3333,384.2,383.0691135,64.6,614,0,1,5,6,25,0,1,0,1,0,0,0,1,282.5,6,2,1,0,1,2,0,0.8,6.4,10,Felodipine,3.9,PubChem XLogP,OK,C18H19Cl2NO4,384.2
3339,360.8,360.1128368,52.6,458,0,0,4,7,25,0,0,0,0,0,0,0,1,279.9,7,3,0,0,0,2,2,0.8,7,10,Fenofibrate,5.2,PubChem XLogP,OK,C20H21ClO4,360.8
3342,242.27,242.0942943,46.5,271,0,1,3,4,18,0,1,0,1,0,0,0,1,194,7,3,0,1,0,2,1,0.6,4,10,Fenoprofen,3.3,PubChem XLogP,OK,C15H14O3,242.27
3365,306.27,306.1040654,81.7,358,0,1,7,5,22,0,0,0,0,0,0,0,1,220.7,9,1,1,0,4,3,0,0.8,5,10,Fluconazole,0.4,PubChem XLogP,OK,C13H12F2N6O,306.27
3373,303.29,303.1019195,64.4,461,0,0,5,3,22,0,0,0,0,0,0,0,1,226.5,6,2,0,0,1,3,0,0.6,3.4,10,Flumazenil,1,PubChem XLogP,OK,C15H14FN3O3,303.29
3385,130.08,130.0178555,58.2,199,0,2,3,0,9,0,0,0,0,0,0,0,1,87.4,5,2,2,0,0,1,0,0.4,0,1,5-Fluorouracil,-0.9,PubChem XLogP,OK,C4H3FN2O2,130.08
3386,309.33,309.1340487,21.3,308,0,1,5,6,22,0,1,0,1,0,0,0,1,238.3,5,1,1,0,1,2,0,0.8,7,10,Fluoxetine,4,PubChem XLogP,OK,C17H18F3NO,309.33
3393,387.9,387.1513682,35.9,540,0,0,4,6,27,0,0,0,0,0,0,0,1,297.4,6,2,0,0,1,3,0,0.8,6.4,10,Flurazepam,3,PubChem XLogP,OK,C21H23ClFN3O,387.9
3394,244.26,244.0899578,37.3,286,0,1,3,3,18,0,1,0,1,0,0,0,1,193.4,6,2,0,1,0,2,1,0.6,3,10,Flurbiprofen,4.2,PubChem XLogP,OK,C15H13FO2,244.26
3395,330.3,330.1267373,52.6,433,0,0,5,7,24,0,2,0,2,0,0,0,1,260.7,5,2,0,0,0,2,1,1,7,10,Flurbiprofen Axetil,4.9,PubChem XLogP,OK,C19H19FO4,330.3
3397,276.21,276.0721767,74.9,352,0,1,6,2,19,0,0,0,0,0,0,0,1,192.8,7,3,1,1,0,1,1,0.6,5,8,Flutamide,3.3,PubChem XLogP,OK,C11H11F3N2O3,276.21
3440,330.74,330.0077203,131,481,0,3,7,5,21,0,0,0,0,0,0,0,1,226.5,11,5,2,1,1,2,0,0.8,5,10,Furosemide,2,PubChem XLogP,OK,C12H11ClN2O5S,330.74
3446,171.24,171.1259288,63.3,162,0,2,3,3,12,0,0,0,0,0,0,0,1,134.8,6,2,1,1,1,1,0,0.6,4.2,10,Gabapentin,-1.1,PubChem XLogP,OK,C9H17NO2,171.24
3475,323.4,323.1303627,86.9,497,0,2,4,3,22,0,2,0,2,0,0,0,1,242.8,8,3,2,0,0,3,0,0.8,6.2,10,Gliclazide,1.5,PubChem XLogP,OK,C15H21N3O3S,323.4
3476,490.6,490.2249914,133,895,0,3,5,7,34,0,0,0,0,0,0,0,1,376.4,12,5,3,0,0,3,1,1.4,12.6,10,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",3.9,PubChem XLogP,OK,C24H34N4O5S,490.6
3478,445.5,445.1783755,139,697,0,3,6,7,31,0,0,0,0,0,0,0,1,337.6,12,6,3,0,0,3,0,1.2,11.2,10,Glipizide,1.9,PubChem XLogP,OK,C21H27N5O4S,445.5
3488,494,493.1438199,122,746,0,3,5,8,33,0,0,0,0,0,0,0,1,365.7,11,5,3,0,0,3,0,1.2,12.2,10,Glibenclamide,4.8,PubChem XLogP,OK,C23H28ClN3O5S,494
3559,375.9,375.1401348,40.5,451,0,1,4,6,26,0,0,0,0,0,0,0,1,289.9,7,2,1,0,1,3,0,0.8,7.2,10,Haloperidol,3.2,PubChem XLogP,OK,C21H23ClFNO2,375.9
3562,197.38,195.89022,0,60,0,0,3,0,7,0,1,0,1,0,0,0,1,89.9,1,0,0,0,0,0,1,0.4,1,2,Halothane,2.3,PubChem XLogP,OK,C2HBrClF3,197.38
3608,236.27,236.1160924,66.5,427,0,1,3,1,17,0,1,0,1,0,0,0,1,178.6,6,3,1,0,0,2,0,0.6,2.4,5,Hexobarbital,1.5,PubChem XLogP,OK,C12H16N2O3,236.27
3639,297.7,296.9644758,135,494,0,3,7,1,17,0,0,0,0,0,0,0,1,187.1,10,4,3,0,1,2,0,0.6,1.6,2,Hydrochlorothiazide,-0.1,PubChem XLogP,OK,C7H8ClN3O4S2,297.7
3647,331.3,330.9908326,135,578,0,3,10,1,20,0,0,0,0,0,0,0,1,205,10,4,3,0,1,2,0,0.6,2.6,2,Hydroflumethiazide,0.4,PubChem XLogP,OK,C8H8F3N3O4S2,331.3
3672,206.28,206.1306798,37.3,203,0,1,2,4,15,0,1,0,1,0,0,0,1,172.2,6,2,0,1,0,1,2,0.6,4,8,"Ibuprofen, (+-)-",3.5,PubChem XLogP,OK,C13H18O2,206.28
3673,297.4,297.172879,39.2,334,0,0,3,7,22,0,1,0,1,0,0,0,1,246.2,6,2,0,0,0,2,2,0.8,7,10,Ibuprofen Piconol,4.3,PubChem XLogP,OK,C19H23NO2,297.4
3676,234.34,234.1732133,32.3,228,0,1,2,5,17,0,0,0,0,0,0,0,1,198.5,4,1,1,0,1,1,0,0.8,6,7,Lidocaine,2.3,PubChem XLogP,OK,C14H22N2O,234.34
3698,187.2,187.0745619,68,300,0,2,3,1,14,0,0,0,0,0,0,0,1,144.2,7,2,2,0,1,2,0,0.4,1,2,Amrinone,-0.2,PubChem XLogP,OK,C10H9N3O,187.2
3702,365.8,365.0600902,101,580,0,2,5,3,24,0,1,0,1,0,0,0,1,263.6,8,3,2,0,0,3,0,0.8,4.6,10,Indapamide,2.9,PubChem XLogP,OK,C16H16ClN3O3S,365.8
3715,357.8,357.0767857,68.5,506,0,1,4,4,25,0,0,0,0,0,0,0,1,268.6,8,4,0,1,0,3,0,0.8,5,10,Indomethacin,4.3,PubChem XLogP,OK,C19H16ClNO4,357.8
3748,179.22,179.105862,54,164,0,2,3,3,13,0,0,0,0,0,0,0,1,142.9,6,2,2,0,0,1,1,0.6,4,10,Iproniazid,0.4,PubChem XLogP,OK,C9H13N3O,179.22
3749,428.5,428.2324595,87.1,682,0,1,5,7,32,0,0,0,0,0,0,0,1,343,8,1,0,0,1,5,1,1,8,10,Irbesartan,4.1,PubChem XLogP,OK,C25H28N6O,428.5
