pubchem_cid,ligand_title,ranked_uniprots,score_threshold,predicted_targets_at_threshold,expected_supported_targets_at_threshold,known_yamanishi_targets_in_affinity_file,known_yamanishi_targets_recovered_at_threshold,known_yamanishi_targets_missed_at_threshold,top_target_likelihood
441358,Nortriptyline Hydrochloride,6439,0.8,0,0,0,0,0,0.01763833531812236
441401,Linezolid,7399,0.8,0,0,1,0,1,0.07913350476912284
441411,(-)-Epinephrine hydrochloride,7206,0.8,0,0,3,0,3,0.056571686165430055
4421,Nalidixic Acid,7412,0.8,0,0,2,0,2,0.05842278824611618
443872,Eplerenone,7576,0.8,0,0,1,0,1,0.01936916498103134
443873,Temocapril Hydrochloride,7282,0.8,0,0,1,0,1,0.056571686165430055
443879,Tolterodine,7530,0.8,0,0,2,0,2,0.07255527620445995
443939,Doxorubicin Hydrochloride,6513,0.8,0,0,1,0,1,0.0676414577818548
443958,Amcinonide,7445,0.8,0,0,1,0,1,0.057294281892285095
444020,Voglibose,7529,0.8,0,0,0,0,0,0.019633732531150604
444025,Loteprednol Etabonate,7453,0.8,0,0,1,0,1,0.021651151106567783
444030,Darifenacin Hydrobromide,7449,0.8,0,0,0,0,0,0.023644362700701457
444031,Darifenacin,7452,0.8,0,0,1,0,1,0.02294257777437119
444305,L-Tartaric acid,7582,0.8,0,0,4,0,4,0.05793216821675452
444795,Retinoic Acid,7532,0.8,0,0,10,0,10,0.07913350476912284
444972,Fumaric Acid,7545,0.8,0,0,1,0,1,0.020006144233298034
445639,Oleic Acid,7534,0.8,0,0,1,0,1,0.03620687995747912
44571,Brofaromine,7476,0.8,0,0,2,0,2,0.07255527620445995
4485,Nifedipine,7464,0.8,0,0,44,0,44,0.1069957343024076
