pubchem_cid,ligand_title,ranked_uniprots,expected_supported_target_degree,known_yamanishi_targets_in_affinity_file,known_any_supported_targets_in_affinity_file
48040,Encainide Hydrochloride,7027,2.8438636285333705,0,0
3052775,Rasagiline Mesylate,7409,2.818396518402993,2,2
2170,Amoxapine,7326,2.8122976569715634,1,1
3759,Isocarboxazid,7410,2.7865189657181273,2,2
124886,Glutathione,7392,2.777656652043586,2,2
68546,Prazosin Hydrochloride,6845,2.7746047838456915,3,3
3038222,Dobutamine Lactobionate,7332,2.7663981317483453,2,2
4235,Moclobemide,7411,2.7623411536810383,2,2
4066,Mequitazine,7532,2.748203009687814,1,1
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",7363,2.7440760645933646,1,1
65326,Ephedrine Hydrochloride,7257,2.7377807093677498,1,1
5282379,Isotretinoin,7532,2.7349853126352137,1,1
68304,Dyclonine Hydrochloride,7086,2.730924875357444,4,4
163727,Lazabemide Hydrochloride,7411,2.7294802675528302,2,2
3748,Iproniazid,7417,2.71671918154701,2,2
3339,Fenofibrate,7532,2.7110577274430883,1,1
441278,Pentazocine,7533,2.6748210247032174,1,1
189729,Ceronapril,7283,2.6718099593162203,2,2
33572,Ritodrine,7532,2.671006650963121,1,1
11224,Donormil,7384,2.6546133440268957,2,2
4158,Methylphenidate,7539,2.6363959477384022,0,0
27522,Distigmine Bromide,7525,2.632797103231687,1,1
1549008,Terbinafine,7581,2.63028578567862,1,1
3673,Ibuprofen Piconol,7532,2.6278579243643656,2,2
208910,Firocoxib,7532,2.6260059114430674,2,2
358641,Sulfamethoxazole-trimethoprim mixt.,7231,2.6256380323672888,1,1
5090,Rofecoxib,7534,2.6232096797261715,2,2
5497196,Rapamycin (TN),7242,2.618725766485792,0,0
27661,Isosorbide Mononitrate,7542,2.616757883962271,0,0
34632,Ethmozine,6938,2.6148371856934705,0,0
4201,Minoxidil,7336,2.61244943002783,1,1
4909,Primidone,7539,2.612394613519049,1,1
2479,Butabarbital,7541,2.611442116752671,1,1
441411,(-)-Epinephrine hydrochloride,7206,2.577689218174849,3,3
68617,Sertraline,7534,2.5732365645302275,1,1
77991,Rivastigmine,7540,2.5641971939414128,2,2
5362376,Tamsulosin Hydrochloride,7384,2.563202358359816,0,0
441401,Linezolid,7399,2.548007334643407,1,1
35329,Bitolterol Mesylate,7344,2.5439649894490137,1,1
3342,Fenoprofen,7534,2.5356531332826844,2,2
4409,Nabumetone,7582,2.5204080013310883,2,2
54676228,Piroxicam,7236,2.5195382357641383,2,2
6274,L-Histidine,7418,2.518646275522909,2,2
5362115,Delapril Hydrochloride,7372,2.516784677811713,2,2
2083,Salbutamol,7534,2.5055238111324916,1,1
36708,Propafenone Hydrochloride,7071,2.481216620091883,0,0
15130,Levomethadyl Acetate,7532,2.4809076002754327,1,1
667476,Dienestrol,7581,2.4795115602055695,1,1
