pubchem_cid,ranked_uniprots,supported_hits,sampled_unsupported_hits
66070,7085,0,300
66250,7330,0,300
66259,7402,3,300
66383,7348,2,300
667467,7475,2,300
667476,7581,1,300
667484,7475,7,300
6726,7581,1,300
68304,7086,4,300
6850814,7284,1,300
68546,6845,3,300
68551,7225,0,300
68553,6971,2,300
68617,7534,1,300
6883,7582,0,300
68844,7397,11,300
6914273,7402,1,300
6917793,7285,1,300
6917815,7471,1,300
6917956,7406,1,300
6918003,7201,0,300
6918034,6779,12,300
6918078,7454,1,300
6918132,6935,11,300
69568,7477,0,300
71177,6465,5,300
71320,7381,1,300
71329,7385,2,300
71355,7145,2,300
71764,7285,12,300
71793,7331,1,300
71992,7303,1,300
72734318,7344,0,300
7550,7620,1,300
77991,7540,2,300
78000,7381,1,300
82148,7538,2,300
8280,7543,1,300
8288,7361,1,300
8307,7380,1,300
8366,7203,2,300
84003,7380,2,300
864,7480,0,300
8695,7408,0,300
876,7420,3,300
8955,7532,1,300
89594,7544,49,980
9034,7475,1,300
9051,7581,1,300
91430,6373,3,300
91725,7606,1,300
92163,6978,0,300
9270,7578,7,300
92727,7286,2,300
936,7482,1,300
9373,7577,2,300
938,7482,4,300
9556529,7211,0,300
9570076,6811,1,300
9574101,7266,1,300
9574343,7368,0,300
9642,7446,1,300
9651,7473,1,300
967,7479,1,300
9681,7388,1,300
9795678,6539,4,300
985,7537,4,300
9859832,7534,6,300
9869929,7183,1,300
9878,7460,2,300
